subnet,country,datacenter,proxy_type
185.113.78.176/28,ROC,,
185.113.78.192/26,ROC,,
185.113.79.0/27,ROC,,
185.113.79.32/28,ROC,,
185.113.79.48/30,ROC,,
185.113.79.52/31,ROC,,
185.113.79.54/32,ROC,,
185.113.79.56/29,ROC,,
185.113.79.64/26,ROC,,
185.113.79.128/25,ROC,,
185.116.228.0/22,ROC,,
185.117.100.0/22,ROC,,
185.117.140.0/23,ROC,,
185.117.142.0/23,ROC,,
185.120.88.0/24,ROC,,
185.120.89.0/24,ROC,,
185.120.90.0/24,ROC,,
185.120.91.0/24,ROC,,
185.123.44.0/23,ROC,,
185.123.46.0/23,ROC,,
185.135.180.0/22,ROC,,
185.138.200.0/22,ROC,,
185.141.40.0/22,ROC,,
185.146.212.0/23,ROC,,
185.146.214.0/24,ROC,,
185.146.215.0/24,ROC,,
185.151.128.0/25,ROC,,
185.151.128.128/25,ROC,,
185.151.129.0/24,ROC,,
185.151.130.0/23,ROC,,
185.159.164.0/22,ROC,,
185.163.236.0/23,ROC,,
185.163.238.0/24,ROC,,
185.163.239.0/26,ROC,,
185.163.239.65/32,ROC,,
185.163.239.66/31,ROC,,
185.163.239.68/30,ROC,,
185.163.239.72/29,ROC,,
185.163.239.80/28,ROC,,
185.163.239.96/27,ROC,,
185.163.239.128/25,ROC,,
185.173.112.0/22,ROC,,
185.183.76.0/23,ROC,,
185.185.180.0/22,ROC,,
185.205.236.0/23,ROC,,
185.207.252.0/22,ROC,,
185.229.184.0/23,ROC,,
185.229.186.0/25,ROC,,
185.229.186.128/25,ROC,,
185.229.187.0/25,ROC,,
185.229.187.128/25,ROC,,
185.236.216.0/22,ROC,,
185.239.116.0/22,ROC,,
185.239.120.0/23,ROC,,
185.239.122.0/23,ROC,,
185.239.128.0/23,ROC,,
185.239.130.0/23,ROC,,
185.239.132.0/24,ROC,,
185.239.134.0/24,ROC,,
185.251.20.0/24,ROC,,
185.252.60.0/22,ROC,,
188.114.192.0/22,ROC,,
188.114.200.0/21,ROC,,
188.114.208.0/23,ROC,,
188.114.210.0/23,ROC,,
188.114.212.0/22,ROC,,
188.114.216.0/22,ROC,,
188.114.220.0/22,ROC,,
188.124.224.0/23,ROC,,
188.124.226.0/23,ROC,,
188.124.248.0/21,ROC,,
188.128.82.0/24,ROC,,
188.128.83.0/26,ROC,,
188.128.83.64/31,ROC,,
188.128.83.71/32,ROC,,
188.128.83.72/29,ROC,,
188.128.83.80/28,ROC,,
188.128.83.96/27,ROC,,
188.128.83.184/29,ROC,,
188.191.20.0/24,ROC,,
188.191.21.0/24,ROC,,
188.191.22.0/23,ROC,,
188.191.28.0/23,ROC,,
188.191.30.0/25,ROC,,
188.191.30.177/32,ROC,,
188.191.30.188/32,ROC,,
188.191.30.198/32,ROC,,
193.3.40.0/24,ROC,,
193.23.122.0/24,ROC,,
193.25.121.24/32,ROC,,
193.27.242.0/24,ROC,,
193.27.243.0/25,ROC,,
193.27.243.128/26,ROC,,
193.27.243.192/29,ROC,,
193.27.243.200/30,ROC,,
193.27.243.204/32,ROC,,
193.27.243.206/31,ROC,,
193.27.243.208/28,ROC,,
193.27.243.224/27,ROC,,
193.33.236.0/23,ROC,,
193.47.240.0/24,ROC,,
193.47.241.0/24,ROC,,
193.47.242.0/24,ROC,,
193.47.243.0/24,ROC,,
193.104.145.0/24,ROC,,
193.106.184.0/24,ROC,,
193.106.185.0/25,ROC,,
193.106.185.128/26,ROC,,
193.106.186.0/23,ROC,,
193.107.40.0/22,ROC,,
193.107.112.0/22,ROC,,
193.148.62.0/24,ROC,,
193.162.130.0/24,ROC,,
193.163.197.0/24,ROC,,
193.188.254.0/24,ROC,,
193.228.132.0/23,ROC,,
193.228.134.0/24,ROC,,
193.228.135.0/24,ROC,,
193.238.109.0/24,ROC,,
193.238.110.0/24,ROC,,
193.238.111.0/24,ROC,,
194.9.26.0/23,ROC,,
194.15.57.0/24,ROC,,
194.15.147.0/24,ROC,,
194.28.20.0/22,ROC,,
194.28.36.0/22,ROC,,
194.28.88.0/23,ROC,,
194.28.90.0/24,ROC,,
194.28.91.0/26,ROC,,
194.28.91.64/28,ROC,,
194.28.91.80/29,ROC,,
194.28.91.88/32,ROC,,
194.28.91.90/31,ROC,,
194.28.91.92/30,ROC,,
194.28.91.96/27,ROC,,
194.28.91.128/25,ROC,,
194.54.152.0/22,ROC,,
194.127.112.0/25,ROC,,
194.127.112.128/25,ROC,,
194.127.113.0/24,ROC,,
194.127.114.0/25,ROC,,
194.127.114.128/25,ROC,,
194.127.115.0/24,ROC,,
194.135.34.0/24,ROC,,
194.135.36.0/23,ROC,,
194.135.38.0/24,ROC,,
194.135.39.0/24,ROC,,
194.135.44.0/23,ROC,,
194.147.48.0/23,ROC,,
194.147.50.0/24,ROC,,
194.187.148.0/24,ROC,,
194.187.150.0/23,ROC,,
194.247.16.0/23,ROC,,
195.5.108.0/23,ROC,,
195.18.16.0/23,ROC,,
195.18.18.0/24,ROC,,
195.18.19.0/24,ROC,,
195.20.30.0/23,ROC,,
195.20.118.0/24,ROC,,
195.26.80.0/32,ROC,,
195.26.80.1/32,ROC,,
195.26.80.2/31,ROC,,
195.26.80.4/30,ROC,,
195.26.80.8/29,ROC,,
195.26.80.16/28,ROC,,
195.26.80.32/27,ROC,,
195.26.80.64/26,ROC,,
195.26.80.128/25,ROC,,
195.26.81.0/24,ROC,,
195.26.82.0/23,ROC,,
195.49.200.0/21,ROC,,
195.54.42.0/27,ROC,,
195.54.42.32/31,ROC,,
195.54.42.34/32,ROC,,
195.54.42.36/30,ROC,,
195.54.42.40/29,ROC,,
195.54.42.48/28,ROC,,
195.54.42.64/26,ROC,,
195.54.42.128/25,ROC,,
195.54.43.0/24,ROC,,
195.66.138.0/23,ROC,,
195.88.52.0/30,ROC,,
195.88.52.4/30,ROC,,
195.88.52.8/29,ROC,,
195.88.52.16/28,ROC,,
195.88.52.32/27,ROC,,
195.88.52.64/26,ROC,,
195.88.52.128/25,ROC,,
195.88.53.0/24,ROC,,
195.88.112.0/23,ROC,,
195.93.160.0/23,ROC,,
195.110.6.0/23,ROC,,
195.114.6.0/23,ROC,,
195.211.116.67/32,ROC,,
195.216.212.0/23,ROC,,
212.22.68.0/24,ROC,,
212.22.76.0/24,ROC,,
212.22.80.0/24,ROC,,
212.22.82.0/24,ROC,,
212.22.83.0/24,ROC,,
212.22.86.0/24,ROC,,
212.110.154.102/32,ROC,,
217.147.8.0/23,ROC,,
217.147.10.0/23,ROC,,
217.175.0.0/22,ROC,,
217.175.4.0/23,ROC,,
217.175.6.0/24,ROC,,
217.175.7.0/24,ROC,,
217.175.8.0/24,ROC,,
217.175.9.0/24,ROC,,
217.175.10.0/23,ROC,,
217.175.12.0/23,ROC,,
217.175.14.0/26,ROC,,
217.175.14.64/28,ROC,,
217.175.14.80/30,ROC,,
217.175.14.84/31,ROC,,
217.175.14.86/32,ROC,,
217.175.14.87/32,ROC,,
217.175.14.88/29,ROC,,
217.175.14.96/27,ROC,,
217.175.14.128/25,ROC,,
217.175.15.0/24,ROC,,
2a02:26f7:b6c0:4e01::/64,ROC,,
2a02:26f7:b6c0:4e02::/64,ROC,,
2a02:26f7:b6c0:4e03::/64,ROC,,
2a02:26f7:b6c0:4e04::/64,ROC,,
2a02:26f7:b6c0:4e05::/64,ROC,,
2a02:26f7:b6c0:4e06::/63,ROC,,
2a02:26f7:b6c0:4e08::/64,ROC,,
2a02:26f7:b6c0:4e09::/64,ROC,,
2a02:26f7:b6c0:4e0a::/64,ROC,,
2a02:26f7:b6c0:4e0b::/64,ROC,,
2a02:26f7:b6c0:4e0c::/64,ROC,,
2a02:26f7:b6c4:4e01::/64,ROC,,
2a02:26f7:b6c4:4e02::/64,ROC,,
2a02:26f7:b6c4:4e03::/64,ROC,,
2a02:26f7:b6c4:4e04::/64,ROC,,
2a02:26f7:b6c4:4e05::/64,ROC,,
2a02:26f7:b6c4:4e06::/63,ROC,,
2a02:26f7:b6c4:4e08::/64,ROC,,
2a02:26f7:b6c4:4e09::/64,ROC,,
2a02:26f7:b6c4:4e0a::/64,ROC,,
2a02:26f7:b6c4:4e0b::/64,ROC,,
2a02:26f7:b6c4:4e0c::/64,ROC,,
2a02:26f7:b6c8:4e01::/64,ROC,,
2a02:26f7:b6c8:4e02::/64,ROC,,
2a02:26f7:b6c8:4e03::/64,ROC,,
2a02:26f7:b6c8:4e04::/64,ROC,,
2a02:26f7:b6c8:4e05::/64,ROC,,
2a02:26f7:b6c8:4e06::/63,ROC,,
2a02:26f7:b6c8:4e08::/64,ROC,,
2a02:26f7:b6c8:4e09::/64,ROC,,
2a02:26f7:b6c8:4e0a::/64,ROC,,
2a02:26f7:b6c8:4e0b::/64,ROC,,
2a02:26f7:b6c8:4e0c::/64,ROC,,
2a02:26f7:b6cc:4e01::/64,ROC,,
2a02:26f7:b6cc:4e02::/64,ROC,,
2a02:26f7:b6cc:4e03::/64,ROC,,
2a02:26f7:b6cc:4e04::/64,ROC,,
2a02:26f7:b6cc:4e05::/64,ROC,,
2a02:26f7:b6cc:4e06::/63,ROC,,
2a02:26f7:b6cc:4e08::/64,ROC,,
2a02:26f7:b6cc:4e09::/64,ROC,,
2a02:26f7:b6cc:4e0a::/64,ROC,,
2a02:26f7:b6cc:4e0b::/64,ROC,,
2a02:26f7:b6cc:4e0c::/64,ROC,,
5.56.24.0/22,DNO,,
5.56.28.0/23,DNO,,
5.56.30.0/24,DNO,,
5.56.31.0/24,DNO,,
5.104.32.0/23,DNO,,
5.104.34.0/23,DNO,,
5.104.36.0/24,DNO,,
5.104.37.0/24,DNO,,
5.104.38.0/23,DNO,,
5.104.40.0/23,DNO,,
5.104.42.0/23,DNO,,
5.104.44.0/25,DNO,,
5.104.44.128/25,DNO,,
5.104.45.0/24,DNO,,
5.104.46.0/24,DNO,,
5.104.47.0/24,DNO,,
5.104.48.0/23,DNO,,
5.104.50.0/23,DNO,,
5.104.52.0/23,DNO,,
5.104.54.0/23,DNO,,
5.104.56.0/24,DNO,,
5.104.57.0/24,DNO,,
5.104.58.0/24,DNO,,
5.104.59.0/24,DNO,,
5.104.60.0/23,DNO,,
5.104.62.0/23,DNO,,
5.105.0.0/22,DNO,,
5.105.4.0/23,DNO,,
5.105.6.0/24,DNO,,
5.105.7.128/25,DNO,,
5.105.8.0/24,DNO,,
5.105.9.0/24,DNO,,
5.105.10.0/24,DNO,,
5.105.11.0/24,DNO,,
5.105.12.0/24,DNO,,
5.105.13.0/24,DNO,,
5.105.14.0/25,DNO,,
5.105.14.128/25,DNO,,
5.105.15.0/24,DNO,,
5.105.16.0/23,DNO,,
5.105.18.0/24,DNO,,
5.105.19.0/24,DNO,,
5.105.20.0/23,DNO,,
5.105.22.0/24,DNO,,
5.105.23.0/24,DNO,,
5.105.24.0/21,DNO,,
5.105.32.0/24,DNO,,
5.105.33.0/24,DNO,,
5.105.34.0/24,DNO,,
5.105.35.0/24,DNO,,
5.105.36.0/23,DNO,,
5.105.39.0/24,DNO,,
5.105.40.0/21,DNO,,
5.105.48.0/21,DNO,,
5.105.56.0/21,DNO,,
5.105.64.0/20,DNO,,
5.105.80.0/21,DNO,,
5.105.88.0/21,DNO,,
5.105.96.0/21,DNO,,
5.105.104.0/21,DNO,,
5.105.112.0/20,DNO,,
5.105.128.0/21,DNO,,
5.105.136.0/24,DNO,,
5.105.137.0/24,DNO,,
5.105.138.0/23,DNO,,
5.105.140.0/22,DNO,,
5.105.144.0/23,DNO,,
5.105.146.0/24,DNO,,
5.105.147.0/24,DNO,,
5.105.148.0/22,DNO,,
5.105.152.0/21,DNO,,
5.105.160.0/22,DNO,,
5.105.164.0/24,DNO,,
5.105.165.0/24,DNO,,
5.105.166.0/24,DNO,,
5.105.167.0/24,DNO,,
5.105.168.0/21,DNO,,
5.105.176.0/20,DNO,,
5.105.192.0/23,DNO,,
